"state","district","party","Cook_PVI_2019","raw_Cook_PVI_2019","state_fips","county_fips"
"ALABAMA","01","R","R+16","R+15.72","01","01129"
"ALABAMA","01","R","R+16","R+15.72","01","01003"
"ALABAMA","01","R","R+16","R+15.72","01","01099"
"ALABAMA","01","R","R+16","R+15.72","01","01097"
"ALABAMA","01","R","R+16","R+15.72","01","01053"
"ALABAMA","01","R","R+16","R+15.72","01","01025"
"ARIZONA","01","D","R+2","R+2.07","04","04001"
"ARIZONA","01","D","R+2","R+2.07","04","04009"
"ARIZONA","01","D","R+2","R+2.07","04","04007"
"ARIZONA","01","D","R+2","R+2.07","04","04013"
"ARIZONA","01","D","R+2","R+2.07","04","04021"
"ARIZONA","01","D","R+2","R+2.07","04","04011"
"ARIZONA","01","D","R+2","R+2.07","04","04005"
"ARIZONA","01","D","R+2","R+2.07","04","04015"
"ARIZONA","01","D","R+2","R+2.07","04","04025"
"ARIZONA","01","D","R+2","R+2.07","04","04017"
"ARIZONA","01","D","R+2","R+2.07","04","04019"
"ARKANSAS","01","R","R+18","R+18.21","05","05085"
"ARKANSAS","01","R","R+18","R+18.21","05","05031"
"ARKANSAS","01","R","R+18","R+18.21","05","05041"
"ARKANSAS","01","R","R+18","R+18.21","05","05069"
"ARKANSAS","01","R","R+18","R+18.21","05","05017"
"ARKANSAS","01","R","R+18","R+18.21","05","05049"
"ARKANSAS","01","R","R+18","R+18.21","05","05001"
"ARKANSAS","01","R","R+18","R+18.21","05","05055"
"ARKANSAS","01","R","R+18","R+18.21","05","05107"
"ARKANSAS","01","R","R+18","R+18.21","05","05005"
"ARKANSAS","01","R","R+18","R+18.21","05","05137"
"ARKANSAS","01","R","R+18","R+18.21","05","05121"
"ARKANSAS","01","R","R+18","R+18.21","05","05065"
"ARKANSAS","01","R","R+18","R+18.21","05","05037"
"ARKANSAS","01","R","R+18","R+18.21","05","05023"
"ARKANSAS","01","R","R+18","R+18.21","05","05093"
"ARKANSAS","01","R","R+18","R+18.21","05","05079"
"ARKANSAS","01","R","R+18","R+18.21","05","05021"
"ARKANSAS","01","R","R+18","R+18.21","05","05135"
"ARKANSAS","01","R","R+18","R+18.21","05","05147"
"ARKANSAS","01","R","R+18","R+18.21","05","05095"
"ARKANSAS","01","R","R+18","R+18.21","05","05129"
"ARKANSAS","01","R","R+18","R+18.21","05","05111"
"ARKANSAS","01","R","R+18","R+18.21","05","05123"
"ARKANSAS","01","R","R+18","R+18.21","05","05035"
"ARKANSAS","01","R","R+18","R+18.21","05","05063"
"ARKANSAS","01","R","R+18","R+18.21","05","05075"
"ARKANSAS","01","R","R+18","R+18.21","05","05117"
"ARKANSAS","01","R","R+18","R+18.21","05","05077"
"ARKANSAS","01","R","R+18","R+18.21","05","05067"
"CALIFORNIA","01","R","R+11","R+11.37","06","06049"
"CALIFORNIA","01","R","R+11","R+11.37","06","06007"
"CALIFORNIA","01","R","R+11","R+11.37","06","06061"
"CALIFORNIA","01","R","R+11","R+11.37","06","06035"
"CALIFORNIA","01","R","R+11","R+11.37","06","06103"
"CALIFORNIA","01","R","R+11","R+11.37","06","06089"
"CALIFORNIA","01","R","R+11","R+11.37","06","06093"
"CALIFORNIA","01","R","R+11","R+11.37","06","06021"
"CALIFORNIA","01","R","R+11","R+11.37","06","06057"
"CALIFORNIA","01","R","R+11","R+11.37","06","06091"
"CALIFORNIA","01","R","R+11","R+11.37","06","06063"
"COLORADO","01","D","D+22","D+22.42","08","08059"
"COLORADO","01","D","D+22","D+22.42","08","08031"
"COLORADO","01","D","D+22","D+22.42","08","08005"
"CONNECTICUT","01","D","D+11","D+11.22","09","09005"
"CONNECTICUT","01","D","D+11","D+11.22","09","09003"
"CONNECTICUT","01","D","D+11","D+11.22","09","09007"
"FLORIDA","01","R","R+22","R+21.61","12","12113"
"FLORIDA","01","R","R+22","R+21.61","12","12033"
"FLORIDA","01","R","R+22","R+21.61","12","12059"
"FLORIDA","01","R","R+22","R+21.61","12","12091"
"FLORIDA","01","R","R+22","R+21.61","12","12131"
"GEORGIA","01","R","R+9","R+8.94","13","13025"
"GEORGIA","01","R","R+9","R+8.94","13","13229"
"GEORGIA","01","R","R+9","R+8.94","13","13101"
"GEORGIA","01","R","R+9","R+8.94","13","13103"
"GEORGIA","01","R","R+9","R+8.94","13","13185"
"GEORGIA","01","R","R+9","R+8.94","13","13299"
"GEORGIA","01","R","R+9","R+8.94","13","13179"
"GEORGIA","01","R","R+9","R+8.94","13","13305"
"GEORGIA","01","R","R+9","R+8.94","13","13051"
"GEORGIA","01","R","R+9","R+8.94","13","13065"
"GEORGIA","01","R","R+9","R+8.94","13","13005"
"GEORGIA","01","R","R+9","R+8.94","13","13183"
"GEORGIA","01","R","R+9","R+8.94","13","13191"
"GEORGIA","01","R","R+9","R+8.94","13","13039"
"GEORGIA","01","R","R+9","R+8.94","13","13127"
"GEORGIA","01","R","R+9","R+8.94","13","13049"
"GEORGIA","01","R","R+9","R+8.94","13","13029"
"HAWAII","01","D","D+17","D+16.86","15","15003"
"IDAHO","01","R","R+22","R+21.67","16","16001"
"IDAHO","01","R","R+22","R+21.67","16","16027"
"IDAHO","01","R","R+22","R+21.67","16","16003"
"IDAHO","01","R","R+22","R+21.67","16","16085"
"IDAHO","01","R","R+22","R+21.67","16","16087"
"IDAHO","01","R","R+22","R+21.67","16","16009"
"IDAHO","01","R","R+22","R+21.67","16","16045"
"IDAHO","01","R","R+22","R+21.67","16","16021"
"IDAHO","01","R","R+22","R+21.67","16","16015"
"IDAHO","01","R","R+22","R+21.67","16","16017"
"IDAHO","01","R","R+22","R+21.67","16","16079"
"IDAHO","01","R","R+22","R+21.67","16","16055"
"IDAHO","01","R","R+22","R+21.67","16","16049"
"IDAHO","01","R","R+22","R+21.67","16","16075"
"IDAHO","01","R","R+22","R+21.67","16","16035"
"IDAHO","01","R","R+22","R+21.67","16","16061"
"IDAHO","01","R","R+22","R+21.67","16","16057"
"IDAHO","01","R","R+22","R+21.67","16","16069"
"IDAHO","01","R","R+22","R+21.67","16","16073"
"ILLINOIS","01","D","D+27","D+26.81","17","17031"
"ILLINOIS","01","D","D+27","D+26.81","17","17197"
"INDIANA","01","D","D+7","D+6.61","18","18089"
"INDIANA","01","D","D+7","D+6.61","18","18127"
"INDIANA","01","D","D+7","D+6.61","18","18091"
"IOWA","01","D","R+1","R+1.01","19","19089"
"IOWA","01","D","R+1","R+1.01","19","19055"
"IOWA","01","D","R+1","R+1.01","19","19005"
"IOWA","01","D","R+1","R+1.01","19","19113"
"IOWA","01","D","R+1","R+1.01","19","19017"
"IOWA","01","D","R+1","R+1.01","19","19011"
"IOWA","01","D","R+1","R+1.01","19","19013"
"IOWA","01","D","R+1","R+1.01","19","19095"
"IOWA","01","D","R+1","R+1.01","19","19105"
"IOWA","01","D","R+1","R+1.01","19","19019"
"IOWA","01","D","R+1","R+1.01","19","19127"
"IOWA","01","D","R+1","R+1.01","19","19191"
"IOWA","01","D","R+1","R+1.01","19","19171"
"IOWA","01","D","R+1","R+1.01","19","19195"
"IOWA","01","D","R+1","R+1.01","19","19097"
"IOWA","01","D","R+1","R+1.01","19","19065"
"IOWA","01","D","R+1","R+1.01","19","19043"
"IOWA","01","D","R+1","R+1.01","19","19061"
"IOWA","01","D","R+1","R+1.01","19","19131"
"IOWA","01","D","R+1","R+1.01","19","19157"
"KANSAS","01","R","R+25","R+24.77","20","20081"
"KANSAS","01","R","R+25","R+24.77","20","20083"
"KANSAS","01","R","R+25","R+24.77","20","20159"
"KANSAS","01","R","R+25","R+24.77","20","20161"
"KANSAS","01","R","R+25","R+24.77","20","20009"
"KANSAS","01","R","R+25","R+24.77","20","20165"
"KANSAS","01","R","R+25","R+24.77","20","20093"
"KANSAS","01","R","R+25","R+24.77","20","20169"
"KANSAS","01","R","R+25","R+24.77","20","20017"
"KANSAS","01","R","R+25","R+24.77","20","20199"
"KANSAS","01","R","R+25","R+24.77","20","20101"
"KANSAS","01","R","R+25","R+24.77","20","20023"
"KANSAS","01","R","R+25","R+24.77","20","20025"
"KANSAS","01","R","R+25","R+24.77","20","20027"
"KANSAS","01","R","R+25","R+24.77","20","20029"
"KANSAS","01","R","R+25","R+24.77","20","20111"
"KANSAS","01","R","R+25","R+24.77","20","20113"
"KANSAS","01","R","R+25","R+24.77","20","20115"
"KANSAS","01","R","R+25","R+24.77","20","20117"
"KANSAS","01","R","R+25","R+24.77","20","20039"
"KANSAS","01","R","R+25","R+24.77","20","20041"
"KANSAS","01","R","R+25","R+24.77","20","20197"
"KANSAS","01","R","R+25","R+24.77","20","20071"
"KANSAS","01","R","R+25","R+24.77","20","20123"
"KANSAS","01","R","R+25","R+24.77","20","20203"
"KANSAS","01","R","R+25","R+24.77","20","20051"
"KANSAS","01","R","R+25","R+24.77","20","20053"
"KANSAS","01","R","R+25","R+24.77","20","20055"
"KANSAS","01","R","R+25","R+24.77","20","20057"
"KANSAS","01","R","R+25","R+24.77","20","20135"
"KANSAS","01","R","R+25","R+24.77","20","20061"
"KANSAS","01","R","R+25","R+24.77","20","20063"
"KANSAS","01","R","R+25","R+24.77","20","20065"
"KANSAS","01","R","R+25","R+24.77","20","20067"
"KANSAS","01","R","R+25","R+24.77","20","20069"
"KANSAS","01","R","R+25","R+24.77","20","20171"
"KANSAS","01","R","R+25","R+24.77","20","20147"
"KANSAS","01","R","R+25","R+24.77","20","20075"
"KANSAS","01","R","R+25","R+24.77","20","20149"
"KANSAS","01","R","R+25","R+24.77","20","20153"
"KANSAS","01","R","R+25","R+24.77","20","20155"
"KANSAS","01","R","R+25","R+24.77","20","20157"
"KANSAS","01","R","R+25","R+24.77","20","20183"
"KANSAS","01","R","R+25","R+24.77","20","20187"
"KANSAS","01","R","R+25","R+24.77","20","20089"
"KANSAS","01","R","R+25","R+24.77","20","20163"
"KANSAS","01","R","R+25","R+24.77","20","20167"
"KANSAS","01","R","R+25","R+24.77","20","20119"
"KANSAS","01","R","R+25","R+24.77","20","20145"
"KANSAS","01","R","R+25","R+24.77","20","20181"
"KANSAS","01","R","R+25","R+24.77","20","20175"
"KANSAS","01","R","R+25","R+24.77","20","20193"
"KANSAS","01","R","R+25","R+24.77","20","20105"
"KANSAS","01","R","R+25","R+24.77","20","20189"
"KANSAS","01","R","R+25","R+24.77","20","20109"
"KANSAS","01","R","R+25","R+24.77","20","20201"
"KANSAS","01","R","R+25","R+24.77","20","20143"
"KANSAS","01","R","R+25","R+24.77","20","20195"
"KANSAS","01","R","R+25","R+24.77","20","20129"
"KANSAS","01","R","R+25","R+24.77","20","20179"
"KANSAS","01","R","R+25","R+24.77","20","20141"
"KANSAS","01","R","R+25","R+24.77","20","20127"
"KANSAS","01","R","R+25","R+24.77","20","20137"
"KENTUCKY","01","R","R+25","R+24.56","21","21001"
"KENTUCKY","01","R","R+25","R+24.56","21","21003"
"KENTUCKY","01","R","R+25","R+24.56","21","21083"
"KENTUCKY","01","R","R+25","R+24.56","21","21007"
"KENTUCKY","01","R","R+25","R+24.56","21","21033"
"KENTUCKY","01","R","R+25","R+24.56","21","21035"
"KENTUCKY","01","R","R+25","R+24.56","21","21045"
"KENTUCKY","01","R","R+25","R+24.56","21","21039"
"KENTUCKY","01","R","R+25","R+24.56","21","21169"
"KENTUCKY","01","R","R+25","R+24.56","21","21171"
"KENTUCKY","01","R","R+25","R+24.56","21","21105"
"KENTUCKY","01","R","R+25","R+24.56","21","21047"
"KENTUCKY","01","R","R+25","R+24.56","21","21101"
"KENTUCKY","01","R","R+25","R+24.56","21","21229"
"KENTUCKY","01","R","R+25","R+24.56","21","21143"
"KENTUCKY","01","R","R+25","R+24.56","21","21107"
