"geographic_id","county","state","age_3to17yrs_total","age_3to17_enrolled","year","fips"
"0500000US01001","Autauga County","Alabama","11323","9728",2020,"01001"
"0500000US01003","Baldwin County","Alabama","40280","35474",2020,"01003"
"0500000US01005","Barbour County","Alabama","null","null",2020,"01005"
"0500000US01007","Bibb County","Alabama","null","null",2020,"01007"
"0500000US01009","Blount County","Alabama","11568","9542",2020,"01009"
"0500000US01011","Bullock County","Alabama","null","null",2020,"01011"
"0500000US01013","Butler County","Alabama","null","null",2020,"01013"
"0500000US01015","Calhoun County","Alabama","20894","18691",2020,"01015"
"0500000US01017","Chambers County","Alabama","null","null",2020,"01017"
"0500000US01019","Cherokee County","Alabama","null","null",2020,"01019"
"0500000US01021","Chilton County","Alabama","9054","7845",2020,"01021"
"0500000US01023","Choctaw County","Alabama","null","null",2020,"01023"
"0500000US01025","Clarke County","Alabama","null","null",2020,"01025"
"0500000US01027","Clay County","Alabama","null","null",2020,"01027"
"0500000US01029","Cleburne County","Alabama","null","null",2020,"01029"
"0500000US01031","Coffee County","Alabama","10677","9624",2020,"01031"
"0500000US01033","Colbert County","Alabama","9557","8601",2020,"01033"
"0500000US01035","Conecuh County","Alabama","null","null",2020,"01035"
"0500000US01037","Coosa County","Alabama","null","null",2020,"01037"
"0500000US01039","Covington County","Alabama","6767","5872",2020,"01039"
"0500000US01041","Crenshaw County","Alabama","null","null",2020,"01041"
"0500000US01043","Cullman County","Alabama","16004","13706",2020,"01043"
"0500000US01045","Dale County","Alabama","9369","8340",2020,"01045"
"0500000US01047","Dallas County","Alabama","7759","7062",2020,"01047"
"0500000US01049","DeKalb County","Alabama","14781","13128",2020,"01049"
"0500000US01051","Elmore County","Alabama","15275","13401",2020,"01051"
"0500000US01053","Escambia County","Alabama","6838","5985",2020,"01053"
"0500000US01055","Etowah County","Alabama","18743","16312",2020,"01055"
"0500000US01057","Fayette County","Alabama","null","null",2020,"01057"
"0500000US01059","Franklin County","Alabama","6531","5720",2020,"01059"
"0500000US01061","Geneva County","Alabama","null","null",2020,"01061"
"0500000US01063","Greene County","Alabama","null","null",2020,"01063"
"0500000US01065","Hale County","Alabama","null","null",2020,"01065"
"0500000US01067","Henry County","Alabama","null","null",2020,"01067"
"0500000US01069","Houston County","Alabama","20374","18542",2020,"01069"
"0500000US01071","Jackson County","Alabama","9381","8152",2020,"01071"
"0500000US01073","Jefferson County","Alabama","124548","111221",2020,"01073"
"0500000US01075","Lamar County","Alabama","null","null",2020,"01075"
"0500000US01077","Lauderdale County","Alabama","15595","14029",2020,"01077"
"0500000US01079","Lawrence County","Alabama","6098","5378",2020,"01079"
"0500000US01081","Lee County","Alabama","28990","26217",2020,"01081"
"0500000US01083","Limestone County","Alabama","18677","16052",2020,"01083"
"0500000US01085","Lowndes County","Alabama","null","null",2020,"01085"
"0500000US01087","Macon County","Alabama","null","null",2020,"01087"
"0500000US01089","Madison County","Alabama","66848","60855",2020,"01089"
"0500000US01091","Marengo County","Alabama","null","null",2020,"01091"
"0500000US01093","Marion County","Alabama","null","null",2020,"01093"
"0500000US01095","Marshall County","Alabama","19895","17695",2020,"01095"
"0500000US01097","Mobile County","Alabama","80820","71642",2020,"01097"
"0500000US01099","Monroe County","Alabama","null","null",2020,"01099"
"0500000US01101","Montgomery County","Alabama","44121","39476",2020,"01101"
"0500000US01103","Morgan County","Alabama","23110","20552",2020,"01103"
"0500000US01105","Perry County","Alabama","null","null",2020,"01105"
"0500000US01107","Pickens County","Alabama","null","null",2020,"01107"
"0500000US01109","Pike County","Alabama","null","null",2020,"01109"
"0500000US01111","Randolph County","Alabama","null","null",2020,"01111"
"0500000US01113","Russell County","Alabama","11345","10044",2020,"01113"
"0500000US01115","St. Clair County","Alabama","17087","15073",2020,"01115"
"0500000US01117","Shelby County","Alabama","43298","39544",2020,"01117"
"0500000US01119","Sumter County","Alabama","null","null",2020,"01119"
"0500000US01121","Talladega County","Alabama","13985","12773",2020,"01121"
"0500000US01123","Tallapoosa County","Alabama","7288","6235",2020,"01123"
"0500000US01125","Tuscaloosa County","Alabama","36094","32022",2020,"01125"
"0500000US01127","Walker County","Alabama","12134","10678",2020,"01127"
"0500000US01129","Washington County","Alabama","null","null",2020,"01129"
"0500000US01131","Wilcox County","Alabama","null","null",2020,"01131"
"0500000US01133","Winston County","Alabama","null","null",2020,"01133"
"0500000US02013","Aleutians East Borough","Alaska","null","null",2020,"02013"
"0500000US02016","Aleutians West Census Area","Alaska","null","null",2020,"02016"
"0500000US02020","Anchorage Municipality","Alaska","58445","49934",2020,"02020"
"0500000US02050","Bethel Census Area","Alaska","null","null",2020,"02050"
"0500000US02060","Bristol Bay Borough","Alaska","null","null",2020,"02060"
"0500000US02063","Chugach Census Area","Alaska","null","null",2020,"02063"
"0500000US02066","Copper River Census Area","Alaska","null","null",2020,"02066"
"0500000US02068","Denali Borough","Alaska","null","null",2020,"02068"
"0500000US02070","Dillingham Census Area","Alaska","null","null",2020,"02070"
"0500000US02090","Fairbanks North Star Borough","Alaska","19218","16266",2020,"02090"
"0500000US02100","Haines Borough","Alaska","null","null",2020,"02100"
"0500000US02105","Hoonah-Angoon Census Area","Alaska","null","null",2020,"02105"
"0500000US02110","Juneau City and Borough","Alaska","null","null",2020,"02110"
