"Geography","County","State","total_population","total_male","total_female","under5yrs","age_5to9yrs","age_10to14yrs","age_15to19yrs","age_20to24yrs","age_25to34yrs","age_35to44yrs","age_45to54yrs","age_55to59yrs","age_60to64yrs","age_65to74yrs","age_75to84yrs","over_85yrs","median_age","white_population","black_population","native_population","asian_population","other_race_population","white_black_population","white_native_population","white_asian_population","black_native_population","hispanic_latino_population","housing_unit_total_population","year","fips"
"0500000US01001","Autauga County","Alabama",55639,27052,28587,3235,3725,3645,3716,3458,7078,7304,7816,4105,3067,4951,2577,962,38.6,42150,10866,155,649,374,384,274,244,18,55639,23697,2020,"01001"
"0500000US01003","Baldwin County","Alabama",218289,105889,112400,11960,11559,15171,13005,11031,24387,26411,28570,15236,16243,26926,13661,4129,43.2,186504,19153,1514,2033,3398,733,1589,943,77,218289,116747,2020,"01003"
"0500000US01005","Barbour County","Alabama",25026,13156,11870,1332,1550,1429,1386,1532,3643,3047,3125,1591,1614,2856,1438,483,40.1,11587,11929,88,122,777,26,76,10,95,25026,12057,2020,"01005"
"0500000US01007","Bibb County","Alabama",22374,12022,10352,1253,1186,1198,1463,1287,3248,3085,3135,1506,1337,2169,1179,328,39.9,17138,5045,12,56,9,25,78,2,0,22374,9237,2020,"01007"
"0500000US01009","Blount County","Alabama",57755,28677,29078,3505,3486,4077,3675,3198,6879,7060,7630,3935,3928,6019,3106,1257,41,54271,808,55,236,1037,227,654,33,0,57755,24404,2020,"01009"
"0500000US01011","Bullock County","Alabama",10173,5578,4595,594,583,729,1009,474,1086,1193,1465,544,858,1014,456,168,39.7,2663,6980,0,137,318,0,13,0,0,10173,4591,2020,"01011"
"0500000US01013","Butler County","Alabama",19726,9050,10676,1161,1174,1301,1191,1079,2301,2486,2166,1435,1340,2445,1176,471,41.2,10183,8795,66,261,98,134,57,34,5,19726,10119,2020,"01013"
"0500000US01015","Calhoun County","Alabama",114324,54925,59399,6662,6779,6938,7708,7270,15075,13654,14206,7603,8184,12107,6204,1934,39.5,83801,24190,358,925,1871,1053,805,365,90,114324,53722,2020,"01015"
"0500000US01017","Chambers County","Alabama",33427,15928,17499,1984,1769,2022,1756,2125,4222,3706,4493,2569,2251,3981,1960,589,41.9,19015,13372,81,368,264,123,92,52,0,33427,16985,2020,"01017"
"0500000US01019","Cherokee County","Alabama",26035,12875,13160,1128,1317,1584,1487,1376,2555,2870,3643,2098,2008,3555,1836,578,46.8,23970,1250,150,26,212,114,205,4,0,26035,16631,2020,"01019"
"0500000US01021","Chilton County","Alabama",44147,21520,22627,2747,2891,2946,2897,2513,5687,5677,5663,2770,3038,4341,2335,642,39.5,36260,4268,504,195,1571,598,34,0,54,44147,19897,2020,"01021"
"0500000US01023","Choctaw County","Alabama",12755,6032,6723,671,525,863,894,539,1449,1219,1678,1057,912,1651,916,381,46.6,7253,5398,7,25,11,4,7,30,15,12755,7410,2020,"01023"
"0500000US01025","Clarke County","Alabama",23866,11349,12517,1350,1243,1578,1621,1371,2627,2798,3125,1829,1579,2592,1539,614,42.9,12520,10909,18,109,47,176,67,20,0,23866,12813,2020,"01025"
"0500000US01027","Clay County","Alabama",13285,6398,6887,722,633,924,788,847,1479,1476,1731,1042,937,1530,834,342,43.4,11068,2035,20,33,6,93,1,0,2,13285,6832,2020,"01027"
"0500000US01029","Cleburne County","Alabama",14952,7268,7684,888,1027,884,860,755,1786,1644,2059,994,981,1807,769,498,43.1,13955,394,21,1,281,143,101,37,0,14952,6859,2020,"01029"
"0500000US01031","Coffee County","Alabama",52238,25815,26423,3225,3072,3935,3209,2861,6901,6631,6977,3289,3278,5233,2710,917,39.5,39014,8906,523,843,675,861,592,233,197,52238,23313,2020,"01031"
"0500000US01033","Colbert County","Alabama",54957,26448,28509,3089,3272,3177,3157,3185,6589,6498,7341,3868,3881,6234,3629,1037,42.5,43279,8909,313,282,985,398,388,124,13,54957,26727,2020,"01033"
"0500000US01035","Conecuh County","Alabama",12219,5951,6268,454,822,822,815,480,1374,1318,1496,770,1097,1708,793,270,45.2,6176,5872,20,70,0,3,19,59,0,12219,7203,2020,"01035"
"0500000US01037","Coosa County","Alabama",10696,5499,5197,464,338,629,511,473,1005,1360,1528,1076,815,1504,795,198,49,7052,3451,32,0,68,0,82,0,2,10696,6615,2020,"01037"
"0500000US01039","Covington County","Alabama",37096,18034,19062,2139,2358,2167,2200,1866,4212,4165,4729,2664,2739,4379,2420,1058,43.3,31260,4707,78,245,133,231,354,18,6,37096,19073,2020,"01039"
"0500000US01041","Crenshaw County","Alabama",13826,6589,7237,736,883,909,798,816,1615,1634,1757,938,1076,1617,830,217,42.3,9890,3267,104,183,58,212,59,3,7,13826,6834,2020,"01041"
"0500000US01043","Cullman County","Alabama",83345,41079,42266,5163,5102,5168,5220,4608,10318,9995,11016,5772,5642,9031,4899,1411,41.2,78295,943,295,304,758,420,860,230,6,83345,38056,2020,"01043"
"0500000US01045","Dale County","Alabama",49293,24265,25028,3260,3317,2874,3020,3300,6977,5865,5939,3418,2992,4885,2634,812,37.8,35286,10193,413,680,1081,533,375,327,124,49293,23151,2020,"01045"
"0500000US01047","Dallas County","Alabama",38184,17601,20583,2386,2654,2523,2687,2323,4457,4222,4492,2723,2849,4126,2166,576,39.6,10394,27290,48,250,1,26,105,0,20,38184,20427,2020,"01047"
"0500000US01049","DeKalb County","Alabama",71430,35307,36123,4278,4338,5655,4733,4120,8493,8982,9283,4739,4685,7286,3619,1219,39.6,60554,1093,850,76,6256,218,1013,101,0,71430,31424,2020,"01049"
"0500000US01051","Elmore County","Alabama",81526,39388,42138,4701,5320,4921,5088,4863,11566,10549,11076,5882,4919,7708,3789,1144,38.7,61073,17230,241,749,588,593,443,108,33,81526,34332,2020,"01051"
"0500000US01053","Escambia County","Alabama",36775,18690,18085,2130,2202,2489,2361,1890,5061,4639,4548,2333,2480,3771,2117,754,39.4,22757,11774,1391,103,137,145,207,2,39,36775,16618,2020,"01053"
