OBJECTID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,POP_DENSITY,DP02_0059E,DP02_0059M,DP02_0060E,DP02_0060M,DP02_0060PE,DP02_0060PM,DP02_0061E,DP02_0061M,DP02_0061PE,DP02_0061PM,DP02_0062E,DP02_0062M,DP02_0062PE,DP02_0062PM,DP02_0063E,DP02_0063M,DP02_0063PE,DP02_0063PM,DP02_0064E,DP02_0064M,DP02_0064PE,DP02_0064PM,DP02_0065E,DP02_0065M,DP02_0065PE,DP02_0065PM,DP02_0066E,DP02_0066M,DP02_0066PE,DP02_0066PM,DP02_0067E,DP02_0067M,DP02_0067PE,DP02_0067PM,DP02_0068E,DP02_0068M,DP02_0068PE,DP02_0068PM,SHAPE_Length,SHAPE_Area
1,01,001,00161526,0500000US01001,01001,Autauga,Autauga County,AL,Alabama,06,1539634184,25674812,37.826517886667,39614,216,803,237,2,0.6,3323,444,8.4,1.1,12977,866,32.8,2.2,7774,805,19.6,2,3593,551,9.1,1.4,6507,703,16.4,1.8,4637,573,11.7,1.4,35488,595,89.6,1.4,11144,834,28.1,2.1,2.05272376240207,0.150257784174001
2,01,003,00161527,0500000US01003,01003,Baldwin,Baldwin County,AL,Alabama,06,4117656514,1132955729,55.1602590521469,161977,211,3400,484,2.1,0.3,11155,1279,6.9,0.8,44342,1977,27.4,1.2,35174,1815,21.7,1.1,15344,1215,9.5,0.8,33379,1758,20.6,1.1,19183,1450,11.8,0.9,147422,1294,91,0.8,52562,2206,32.5,1.4,4.27752858289337,0.409822387376142
3,01,005,00161528,0500000US01005,01005,Barbour,Barbour County,AL,Alabama,06,2292160149,50523213,11.0197361257763,17995,56,1336,207,7.4,1.1,3042,332,16.9,1.8,6600,503,36.7,2.8,3689,330,20.5,1.8,1321,190,7.3,1.1,1212,199,6.7,1.1,795,182,4.4,1,13617,360,75.7,2,2007,268,11.2,1.5,2.56604097803952,0.223257181995248
4,01,007,00161529,0500000US01007,01007,Bibb,Bibb County,AL,Alabama,06,1612188717,9572303,13.9015983449536,16057,254,988,272,6.2,1.7,2137,385,13.3,2.4,7052,560,43.9,3.3,2886,431,18,2.6,1081,202,6.7,1.3,1276,383,7.9,2.4,637,210,4,1.3,12932,534,80.5,2.9,1913,429,11.9,2.7,1.88686336815913,0.156525335928997
5,01,009,00161530,0500000US01009,01009,Blount,Blount County,AL,Alabama,06,1670259090,14860281,35.2544107393542,40668,97,2761,328,6.8,0.8,3889,492,9.6,1.2,14284,714,35.1,1.8,8732,624,21.5,1.5,4941,523,12.1,1.3,3783,493,9.3,1.2,2278,312,5.6,0.8,34018,609,83.6,1.5,6061,595,14.9,1.5,2.39278119698724,0.164412705173003
6,01,011,00161531,0500000US01011,01011,Bullock,Bullock County,AL,Alabama,06,1613083467,6030667,6.43860048935707,6877,346,439,176,6.4,2.5,1101,368,16,5.4,2841,543,41.3,7.5,1319,318,19.2,4.7,373,242,5.4,3.4,560,183,8.1,2.6,244,88,3.5,1.3,5337,504,77.6,5.8,804,172,11.7,2.4,2.04550520145972,0.154695900033504
7,01,013,00161532,0500000US01013,01013,Butler,Butler County,AL,Alabama,06,2012002546,2701199,9.53328813531233,13384,108,509,150,3.8,1.1,1423,239,10.6,1.8,6050,418,45.2,3.1,2504,298,18.7,2.2,1019,178,7.6,1.3,1087,183,8.1,1.4,792,183,5.9,1.4,11452,289,85.6,2.1,1879,235,14,1.8,1.81832732150028,0.191749035501002
8,01,015,00161533,0500000US01015,01015,Calhoun,Calhoun County,AL,Alabama,06,1569246126,16536293,74.1916759079512,80263,137,3448,455,4.3,0.6,8419,833,10.5,1,27783,1233,34.6,1.5,18585,1009,23.2,1.3,6354,787,7.9,1,9159,660,11.4,0.8,6515,602,8.1,0.8,68396,881,85.2,1.1,15674,954,19.5,1.2,2.19604291137605,0.154327235387999
9,01,017,00161534,0500000US01017,01017,Chambers,Chambers County,AL,Alabama,06,1545085601,16971700,22.5450292057961,24828,111,1496,327,6,1.3,2779,360,11.2,1.5,8996,645,36.2,2.6,5735,527,23.1,2.1,2432,371,9.8,1.5,2383,338,9.6,1.4,1007,196,4.1,0.8,20553,510,82.8,2,3390,397,13.7,1.6,1.71419332556576,0.15058830347848
10,01,019,00161535,0500000US01019,01019,Cherokee,Cherokee County,AL,Alabama,06,1433620850,120310807,17.4209240888203,18436,96,1351,252,7.3,1.4,2369,419,12.8,2.3,6809,571,36.9,3.1,3590,407,19.5,2.2,1953,420,10.6,2.3,1148,222,6.2,1.2,1216,270,6.6,1.5,14716,544,79.8,2.9,2364,405,12.8,2.2,1.88609198846482,0.151942390476083
11,01,021,00161536,0500000US01021,01021,Chilton,Chilton County,AL,Alabama,06,1794438835,20592116,24.9977871215655,30534,211,1859,410,6.1,1.3,3710,624,12.2,2,13113,758,42.9,2.4,5426,658,17.8,2.1,2293,378,7.5,1.3,2413,409,7.9,1.3,1720,406,5.6,1.3,24965,745,81.8,2.4,4133,563,13.5,1.8,2.08444398397303,0.174800320227997
12,01,023,00161537,0500000US01023,01023,Choctaw,Choctaw County,AL,Alabama,06,2365900081,19114321,5.40682174311993,9281,56,615,180,6.6,1.9,1187,225,12.8,2.4,3477,339,37.5,3.6,1966,325,21.2,3.5,949,182,10.2,2,750,174,8.1,1.9,337,117,3.6,1.3,7479,292,80.6,3,1087,184,11.7,2,2.6844810611742,0.227715445752369
13,01,025,00161538,0500000US01025,01025,Clarke,Clarke County,AL,Alabama,06,3207494086,36657889,7.27857928153324,16269,93,883,287,5.4,1.8,2009,331,12.3,2,6740,546,41.4,3.4,3091,391,19,2.4,1287,309,7.9,1.9,1379,279,8.5,1.7,880,209,5.4,1.3,13377,354,82.2,2.2,2259,299,13.9,1.8,3.77705278042915,0.308578214402497
14,01,027,00161539,0500000US01027,01027,Clay,Clay County,AL,Alabama,06,1564255426,5281616,9.06757283001427,9969,97,599,189,6,1.9,1095,229,11,2.3,3813,387,38.2,3.9,1946,286,19.5,2.8,1182,279,11.9,2.8,885,209,8.9,2.1,449,167,4.5,1.7,8275,331,83,3.2,1334,288,13.4,2.9,2.02264495352241,0.151859694011498
15,01,029,00161540,0500000US01029,01029,Cleburne,Cleburne County,AL,Alabama,06,1450666453,2352217,10.371784615881,10559,39,635,206,6,1.9,1154,238,10.9,2.3,3958,353,37.5,3.4,2331,297,22.1,2.8,751,190,7.1,1.8,1288,217,12.2,2,442,135,4.2,1.3,8770,297,83.1,2.8,1730,264,16.4,2.5,2.17331332294635,0.141307380795561
16,01,031,00161541,0500000US01031,01031,Coffee,Coffee County,AL,Alabama,06,1758565928,3907189,30.1626451163678,36163,110,1701,247,4.7,0.7,3233,330,8.9,0.9,10108,640,28,1.8,8154,588,22.5,1.6,4765,401,13.2,1.1,5130,558,14.2,1.6,3072,367,8.5,1,31229,373,86.4,1,8202,680,22.7,1.9,1.67857354324529,0.167176656707997
