"state","county","fips","year","annual_change","hpi","hpi_1990_based","hpi_2000_based"
"AL","Autauga","01001",2021,"8.14","210.72","200.02","147.97"
"AL","Baldwin","01003",2021,"13.14","469.34","326.89","197.24"
"AL","Barbour","01005",2021,"9.35","240.66","216.82","136.34"
"AL","Bibb","01007",2021,"6.02","176.77",NA,"160.92"
"AL","Blount","01009",2021,"10.45","223.99",NA,"157.93"
"AL","Butler","01013",2021,"3.23","172.72",NA,"130.87"
"AL","Calhoun","01015",2021,"8.60","340.84","206.31","155.87"
"AL","Chambers","01017",2021,"9.83","247.38","214.84","157.25"
"AL","Cherokee","01019",2021,"9.89","185.26",NA,"177.08"
"AL","Chilton","01021",2021,"9.83","254.61",NA,"156.01"
"AL","Choctaw","01023",2021,"-1.14","140.59",NA,NA
"AL","Clarke","01025",2021,"5.37","231.60","227.69","157.84"
"AL","Clay","01027",2021,"2.94","148.17",NA,NA
"AL","Cleburne","01029",2021,"9.08","179.15",NA,"168.31"
"AL","Coffee","01031",2021,"9.01","206.76","208.42","164.10"
"AL","Colbert","01033",2021,"10.00","258.62","222.87","165.09"
"AL","Conecuh","01035",2021,"7.39","103.48",NA,NA
"AL","Coosa","01037",2021,"6.27","139.08",NA,NA
"AL","Covington","01039",2021,"9.31","168.22",NA,"162.13"
"AL","Crenshaw","01041",2021,"7.73","176.26",NA,"171.17"
"AL","Cullman","01043",2021,"9.07","263.43",NA,"163.65"
"AL","Dale","01045",2021,"6.42","183.44",NA,"149.38"
"AL","Dallas","01047",2021,"6.36","175.51","171.96","131.51"
"AL","De Kalb","01049",2021,"13.33","225.81",NA,"172.57"
"AL","Elmore","01051",2021,"7.31","214.10","214.10","152.24"
"AL","Escambia","01053",2021,"9.79","255.08","238.24","171.19"
"AL","Etowah","01055",2021,"10.11","296.90","235.39","158.32"
"AL","Fayette","01057",2021,"9.20","199.65",NA,"151.59"
"AL","Franklin","01059",2021,"9.06","164.69",NA,"159.97"
"AL","Geneva","01061",2021,"4.93","178.10",NA,"166.38"
"AL","Hale","01065",2021,"1.28","147.10",NA,"131.22"
"AL","Henry","01067",2021,"8.41","191.51",NA,"148.00"
"AL","Houston","01069",2021,"7.58","312.83","192.58","148.01"
"AL","Jackson","01071",2021,"13.42","261.85",NA,"175.68"
"AL","Jefferson","01073",2021,"8.79","517.12","250.86","170.50"
"AL","Lamar","01075",2021,"1.92","164.21",NA,"141.48"
"AL","Lauderdale","01077",2021,"11.14","272.07","228.88","171.89"
"AL","Lawrence","01079",2021,"14.97","246.81",NA,"173.31"
"AL","Lee","01081",2021,"9.43","465.10","244.11","173.42"
"AL","Limestone","01083",2021,"15.09","273.38","238.30","183.45"
"AL","Lowndes","01085",2021,"4.33","126.10",NA,NA
"AL","Macon","01087",2021,"7.11","136.94",NA,"119.69"
"AL","Madison","01089",2021,"15.10","531.55","224.95","186.66"
"AL","Marengo","01091",2021,"-0.08","193.91",NA,"147.52"
"AL","Marion","01093",2021,"4.96","165.33",NA,"149.61"
"AL","Marshall","01095",2021,"12.31","245.73","246.76","167.42"
"AL","Mobile","01097",2021,"12.63","496.96","247.67","169.60"
"AL","Monroe","01099",2021,"6.44","163.68",NA,"139.06"
"AL","Montgomery","01101",2021,"7.59","281.38","150.16","123.73"
"AL","Morgan","01103",2021,"14.48","408.44","213.30","164.13"
"AL","Pickens","01107",2021,"5.49","151.70",NA,NA
"AL","Pike","01109",2021,"6.56","189.01",NA,"145.10"
"AL","Randolph","01111",2021,"10.88","202.30",NA,"168.72"
"AL","Russell","01113",2021,"10.10","237.09","206.31","150.35"
"AL","St Clair","01115",2021,"9.84","367.95","263.27","162.66"
"AL","Shelby","01117",2021,"10.36","449.94","224.79","162.96"
"AL","Sumter","01119",2021,"4.41","151.17",NA,NA
"AL","Talladega","01121",2021,"8.62","247.42","241.51","161.00"
"AL","Tallapoosa","01123",2021,"9.68","252.85",NA,"191.32"
"AL","Tuscaloosa","01125",2021,"7.99","295.60","245.47","167.61"
"AL","Walker","01127",2021,"7.96","254.08","228.71","164.24"
"AL","Washington","01129",2021,"-1.79","119.88",NA,NA
"AL","Wilcox","01131",2021,"4.08","140.82",NA,"142.75"
"AL","Winston","01133",2021,"11.61","229.58",NA,"188.57"
"AK","Anchorage","02020",2021,"5.46","528.06","296.92","204.54"
"AK","Fairbanks North Star","02090",2021,"7.63","420.79","285.38","182.73"
"AK","Juneau","02110",2021,"7.59","473.53","342.15","204.34"
"AK","Kenai Peninsula","02122",2021,"7.86","220.99","283.60","198.00"
"AK","Ketchikan Gateway","02130",2021,"5.50","309.63","287.42","207.73"
"AK","Kodiak Island","02150",2021,"7.76","299.23",NA,"219.69"
"AK","Matanuska Susitna","02170",2021,"8.58","176.74","341.77","190.74"
"AK","Sitka","02220",2021,"6.73","379.86","352.02","200.48"
"AZ","Apache","04001",2021,"17.87","301.03",NA,"203.19"
"AZ","Cochise","04003",2021,"14.77","488.73","259.55","187.29"
"AZ","Coconino","04005",2021,"17.15","907.17","424.28","258.46"
"AZ","Gila","04007",2021,"17.29","578.68","348.12","215.37"
"AZ","Graham","04009",2021,"14.42","295.01",NA,"212.57"
"AZ","La Paz","04012",2021,"15.96","380.53",NA,"268.82"
"AZ","Maricopa","04013",2021,"19.18","910.52","413.75","268.51"
"AZ","Mohave","04015",2021,"19.20","632.65","307.26","265.24"
"AZ","Navajo","04017",2021,"20.15","451.75","356.30","224.14"
"AZ","Pima","04019",2021,"16.82","763.22","323.31","215.38"
"AZ","Pinal","04021",2021,"20.69","561.01","365.01","234.03"
"AZ","Santa Cruz","04023",2021,"16.80","216.60",NA,"172.31"
"AZ","Yavapai","04025",2021,"17.66","598.04","403.96","256.52"
"AZ","Yuma","04027",2021,"17.73","452.62","265.11","204.58"
"AR","Arkansas","05001",2021,"6.96","265.75","222.14","165.49"
"AR","Ashley","05003",2021,"4.34","205.28","196.83","137.02"
"AR","Baxter","05005",2021,"12.34","259.03",NA,"168.71"
"AR","Benton","05007",2021,"15.93","496.92","281.62","202.25"
"AR","Boone","05009",2021,"13.57","188.69",NA,"172.29"
"AR","Bradley","05011",2021,"15.29","150.75",NA,NA
"AR","Carroll","05015",2021,"10.37","182.01",NA,"177.00"
"AR","Chicot","05017",2021,"10.13","137.09",NA,"148.42"
"AR","Clark","05019",2021,"7.70","231.04","213.41","152.99"
"AR","Clay","05021",2021,"3.67","172.71",NA,"181.12"
"AR","Cleburne","05023",2021,"10.35","255.70",NA,"167.77"
"AR","Cleveland","05025",2021,"2.78","156.60",NA,NA
"AR","Columbia","05027",2021,"6.74","236.46",NA,"168.40"
"AR","Conway","05029",2021,"7.73","174.59",NA,"154.83"
"AR","Craighead","05031",2021,"9.19","321.72","221.30","160.02"
"AR","Crawford","05033",2021,"12.62","377.31","230.37","171.23"
"AR","Crittenden","05035",2021,"8.96","337.09","204.10","149.76"
"AR","Cross","05037",2021,"10.79","212.84",NA,"143.73"
"AR","Desha","05041",2021,"1.16","169.19",NA,"171.33"
"AR","Drew","05043",2021,"7.95","226.30",NA,"180.20"
"AR","Faulkner","05045",2021,"9.08","348.22","233.39","171.22"
"AR","Franklin","05047",2021,"10.23","176.81",NA,"176.81"
"AR","Fulton","05049",2021,"7.36","146.04",NA,NA
"AR","Garland","05051",2021,"11.35","251.85","256.26","179.63"
"AR","Grant","05053",2021,"8.30","173.47",NA,"156.92"
"AR","Greene","05055",2021,"9.21","229.62",NA,"162.03"
"AR","Hempstead","05057",2021,"5.59","171.50",NA,"165.45"
"AR","Hot Spring","05059",2021,"6.99","182.73",NA,"162.43"
"AR","Howard","05061",2021,"13.41","171.75",NA,"154.86"
"AR","Independence","05063",2021,"8.93","221.39","223.51","161.03"
"AR","Izard","05065",2021,"10.39","168.78",NA,NA
"AR","Jackson","05067",2021,"2.25","153.17",NA,"128.14"
"AR","Jefferson","05069",2021,"10.85","294.42","179.16","153.42"
"AR","Johnson","05071",2021,"7.59","173.08",NA,"172.49"
"AR","Lawrence","05075",2021,"8.15","154.12",NA,"145.94"
"AR","Lincoln","05079",2021,"11.18","176.04",NA,NA
"AR","Little River","05081",2021,"7.23","157.12",NA,NA
"AR","Logan","05083",2021,"6.92","178.70",NA,"159.82"
"AR","Lonoke","05085",2021,"8.91","250.10","196.26","153.65"
"AR","Madison","05087",2021,"12.98","174.69",NA,NA
"AR","Marion","05089",2021,"9.92","177.07",NA,"179.06"
"AR","Miller","05091",2021,"12.15","240.16",NA,"199.13"
"AR","Mississippi","05093",2021,"3.70","269.32","188.25","144.79"
"AR","Montgomery","05097",2021,"25.86","214.79",NA,NA
"AR","Newton","05101",2021,"2.29","166.69",NA,NA
"AR","Ouachita","05103",2021,"8.66","195.95","207.50","171.01"
"AR","Perry","05105",2021,"8.80","140.43",NA,NA
"AR","Phillips","05107",2021,"15.92","158.69",NA,"130.35"
"AR","Pike","05109",2021,"6.79","159.54",NA,NA
"AR","Poinsett","05111",2021,"5.90","190.13",NA,"161.98"
"AR","Polk","05113",2021,"12.71","176.12",NA,"165.47"
"AR","Pope","05115",2021,"8.79","274.16","225.89","173.76"
"AR","Pulaski","05119",2021,"8.45","497.73","224.25","163.03"
"AR","Randolph","05121",2021,"10.41","175.98",NA,"173.90"
"AR","St Francis","05123",2021,"5.33","139.05",NA,"127.18"
"AR","Saline","05125",2021,"8.43","228.12","215.04","153.43"
"AR","Scott","05127",2021,"10.44","143.60",NA,NA
"AR","Searcy","05129",2021,"21.10","135.18",NA,NA
"AR","Sebastian","05131",2021,"11.77","436.83","228.62","166.47"
"AR","Sevier","05133",2021,"13.24","184.06",NA,NA
"AR","Sharp","05135",2021,"11.13","168.47",NA,"169.13"
"AR","Stone","05137",2021,"11.54","179.25",NA,NA
"AR","Union","05139",2021,"6.00","198.35","211.96","152.05"
"AR","Van Buren","05141",2021,"6.28","161.73",NA,NA
"AR","Washington","05143",2021,"14.43","613.44","296.88","203.11"
"AR","White","05145",2021,"9.24","274.76","233.80","160.86"
"AR","Woodruff","05147",2021,"10.76","139.84",NA,NA
"AR","Yell","05149",2021,"10.11","161.27",NA,NA
"CA","Alameda","06001",2021,"9.66","1978.80","393.63","268.24"
"CA","Alpine","06003",2021,"13.13","255.78",NA,"184.33"
"CA","Amador","06005",2021,"13.31","421.84","262.49","214.28"
"CA","Butte","06007",2021,"10.32","1001.63","318.50","256.57"
"CA","Calaveras","06009",2021,"13.63","499.33","295.45","224.23"
"CA","Colusa","06011",2021,"11.60","428.52","339.97","244.05"
"CA","Contra Costa","06013",2021,"13.51","1511.41","331.79","244.87"
"CA","Del Norte","06015",2021,"16.62","578.56","323.53","271.94"
"CA","El Dorado","06017",2021,"14.89","1104.09","304.54","237.71"
"CA","Fresno","06019",2021,"14.96","892.06","312.24","258.87"
"CA","Glenn","06021",2021,"11.22","473.67","378.56","274.24"
"CA","Humboldt","06023",2021,"12.72","961.52","362.63","266.33"
"CA","Imperial","06025",2021,"13.56","482.25","286.27","219.32"
"CA","Inyo","06027",2021,"9.52","684.17","292.93","224.53"
"CA","Kern","06029",2021,"15.31","756.12","269.61","248.65"
"CA","Kings","06031",2021,"14.36","859.55","290.34","238.57"
"CA","Lake","06033",2021,"13.25","526.67","297.49","219.72"
"CA","Lassen","06035",2021,"8.29","350.90","250.20","183.98"
"CA","Los Angeles","06037",2021,"11.54","1690.40","321.40","311.53"
