"year","month","affected_local_code","policy_type","policy_category"
2020,1,"01077",0,0
2020,1,"28051",0,0
2020,1,"28099",0,0
2020,1,"18177",0,0
2020,1,"01073",0,0
2020,1,"28061",0,0
2020,1,"04013",0,0
2020,1,"04005",0,0
2020,1,"04019",0,0
2020,1,"04015",0,0
2020,1,"06025",0,0
2020,1,"06115",0,0
2020,1,"06045",0,0
2020,1,"06015",0,0
2020,1,"06003",0,0
2020,1,"06073",0,0
2020,1,"06055",0,0
2020,1,"06041",0,0
2020,1,"06001",0,0
2020,1,"06083",0,0
2020,1,"06079",0,0
2020,1,"06059",0,0
2020,1,"06009",0,0
2020,1,"06019",0,0
2020,1,"06091",0,0
2020,1,"06101",0,0
2020,1,"06109",0,0
2020,1,"06013",0,0
2020,1,"06113",0,0
2020,1,"06063",0,0
2020,1,"06051",0,0
2020,1,"06071",0,0
2020,1,"06037",0,0
2020,1,"06039",0,0
2020,1,"06033",0,0
2020,1,"06095",0,0
2020,1,"06067",0,0
2020,1,"06111",0,0
2020,1,"06087",0,0
2020,1,"06027",0,0
2020,1,"06047",0,0
2020,1,"06053",0,0
2020,1,"06065",0,0
2020,1,"06081",0,0
2020,1,"06085",0,0
2020,1,"06099",0,0
2020,1,"06031",0,0
2020,1,"06029",0,0
2020,1,"06023",0,0
2020,1,"06097",0,0
2020,1,"06077",0,0
2020,1,"06061",0,0
2020,1,"06017",0,0
2020,1,"06005",0,0
2020,1,"06069",0,0
2020,1,"06057",0,0
2020,1,"06011",0,0
2020,1,"06043",0,0
2020,1,"06021",0,0
2020,1,"06007",0,0
2020,1,"06035",0,0
2020,1,"06093",0,0
2020,1,"06105",0,0
2020,1,"66000",0,0
2020,1,"06107",0,0
2020,1,"06089",0,0
2020,1,"08031",0,0
2020,1,"12086",0,0
2020,1,"12099",0,0
2020,1,"12011",0,0
2020,1,"12001",0,0
2020,1,"12131",0,0
2020,1,"12117",0,0
2020,1,"12103",0,0
2020,1,"12057",0,0
2020,1,"12083",0,0
2020,1,"12073",0,0
2020,1,"12095",0,0
2020,1,"13135",0,0
2020,1,"13089",0,0
2020,1,"13129",0,0
2020,1,"13057",0,0
2020,1,"13063",0,0
2020,1,"13121",0,0
2020,1,"13067",0,0
2020,1,"16001",0,0
2020,1,"16039",0,0
2020,1,"16015",0,0
2020,1,"16085",0,0
2020,1,"17087",0,0
2020,1,"17019",0,0
2020,1,"17139",0,0
2020,1,"17055",0,0
2020,1,"17141",0,0
2020,1,"17061",0,0
2020,1,"17003",0,0
2020,1,"17175",0,0
2020,1,"17121",0,0
2020,1,"17047",0,0
2020,1,"17021",0,0
2020,1,"17119",0,0
2020,1,"17147",0,0
2020,1,"17079",0,0
2020,1,"17143",0,0
2020,1,"17071",0,0
2020,1,"17053",0,0
2020,1,"17035",0,0
2020,1,"17183",0,0
2020,1,"17107",0,0
2020,1,"17115",0,0
2020,1,"17029",0,0
2020,1,"17161",0,0
2020,1,"17095",0,0
2020,1,"17037",0,0
2020,1,"17201",0,0
2020,1,"17189",0,0
2020,1,"17007",0,0
2020,1,"17199",0,0
2020,1,"17153",0,0
2020,1,"17059",0,0
2020,1,"17193",0,0
2020,1,"17163",0,0
2020,1,"17083",0,0
2020,1,"17069",0,0
2020,1,"17041",0,0
2020,1,"17011",0,0
2020,1,"17031",0,0
2020,1,"17081",0,0
2020,1,"17093",0,0
2020,1,"17045",0,0
2020,1,"17101",0,0
2020,1,"17145",0,0
2020,1,"17005",0,0
2020,1,"17033",0,0
2020,1,"17177",0,0
2020,1,"17173",0,0
2020,1,"17077",0,0
2020,1,"17131",0,0
2020,1,"17065",0,0
2020,1,"17165",0,0
2020,1,"17023",0,0
2020,1,"17111",0,0
2020,1,"17127",0,0
2020,1,"17067",0,0
2020,1,"17185",0,0
2020,1,"17085",0,0
2020,1,"17103",0,0
2020,1,"17113",0,0
2020,1,"17157",0,0
2020,1,"17195",0,0
2020,1,"17089",0,0
2020,1,"17187",0,0
2020,1,"17075",0,0
2020,1,"17117",0,0
2020,1,"17151",0,0
2020,1,"17123",0,0
2020,1,"17073",0,0
2020,1,"17017",0,0
2020,1,"17191",0,0
2020,1,"17155",0,0
2020,1,"48123",0,0
2020,1,"17043",0,0
2020,1,"17197",0,0
2020,1,"17091",0,0
2020,1,"17135",0,0
2020,1,"17203",0,0
2020,1,"17171",0,0
2020,1,"17099",0,0
2020,1,"17129",0,0
2020,1,"17179",0,0
2020,1,"17051",0,0
2020,1,"17125",0,0
2020,1,"17137",0,0
2020,1,"17167",0,0
2020,1,"17159",0,0
2020,1,"17181",0,0
2020,1,"17063",0,0
2020,1,"17015",0,0
2020,1,"17001",0,0
2020,1,"17049",0,0
2020,1,"17109",0,0
2020,1,"17105",0,0
2020,1,"17013",0,0
2020,1,"17027",0,0
2020,1,"17025",0,0
2020,1,"17149",0,0
2020,1,"17009",0,0
2020,1,"17133",0,0
2020,1,"17169",0,0
2020,1,"17097",0,0
2020,1,"17057",0,0
2020,1,"42061",0,0
2020,1,"36073",0,0
2020,1,"36117",0,0
2020,1,"36035",0,0
2020,1,"42041",0,0
2020,1,"42071",0,0
2020,1,"36023",0,0
2020,1,"36097",0,0
2020,1,"18089",0,0
2020,1,"42101",0,0
2020,1,"42075",0,0
2020,1,"19113",0,0
2020,1,"42091",0,0
2020,1,"36017",0,0
2020,1,"42011",0,0
2020,1,"42037",0,0
2020,1,"18017",0,0
2020,1,"36007",0,0
2020,1,"36011",0,0
2020,1,"23031",0,0
2020,1,"18097",0,0
2020,1,"19013",0,0
2020,1,"42087",0,0
2020,1,"42099",0,0
2020,1,"42095",0,0
2020,1,"42025",0,0
2020,1,"42079",0,0
2020,1,"36065",0,0
2020,1,"36123",0,0
2020,1,"36069",0,0
2020,1,"18151",0,0
2020,1,"42069",0,0
2020,1,"36025",0,0
2020,1,"36037",0,0
2020,1,"36053",0,0
2020,1,"36077",0,0
2020,1,"36057",0,0
2020,1,"36015",0,0
2020,1,"42055",0,0
2020,1,"36107",0,0
2020,1,"36101",0,0
2020,1,"42029",0,0
2020,1,"42043",0,0
2020,1,"42017",0,0
2020,1,"42115",0,0
2020,1,"36121",0,0
2020,1,"42045",0,0
2020,1,"42001",0,0
2020,1,"18105",0,0
2020,1,"42067",0,0
2020,1,"42007",0,0
2020,1,"18081",0,0
2020,1,"42127",0,0
