"GEOID","population_25_years_and_over","population_25_years_and_overless_than_9th_grade","population_25_years_and_over9th_to_12th_grade_no_diploma","population_25_years_and_overhigh_school_graduate_includes_equivalency","population_25_years_and_oversome_college_no_degree","population_25_years_and_overassociates_degree","population_25_years_and_overbachelors_degree","population_25_years_and_overgraduate_or_professional_degree","population_25_years_and_overhigh_school_graduate_or_higher","population_25_years_and_overbachelors_degree_or_higher","SHAPE_Length","SHAPE_Area"
"01001",39614,803,3323,12977,7774,3593,6507,4637,35488,11144,2.05272376240207,0.150257784174001
"01003",161977,3400,11155,44342,35174,15344,33379,19183,147422,52562,4.27752858289337,0.409822387376142
"01005",17995,1336,3042,6600,3689,1321,1212,795,13617,2007,2.56604097803952,0.223257181995248
"01007",16057,988,2137,7052,2886,1081,1276,637,12932,1913,1.88686336815913,0.156525335928997
"01009",40668,2761,3889,14284,8732,4941,3783,2278,34018,6061,2.39278119698724,0.164412705173003
"01011",6877,439,1101,2841,1319,373,560,244,5337,804,2.04550520145972,0.154695900033504
"01013",13384,509,1423,6050,2504,1019,1087,792,11452,1879,1.81832732150028,0.191749035501002
"01015",80263,3448,8419,27783,18585,6354,9159,6515,68396,15674,2.19604291137605,0.154327235387999
"01017",24828,1496,2779,8996,5735,2432,2383,1007,20553,3390,1.71419332556576,0.15058830347848
"01019",18436,1351,2369,6809,3590,1953,1148,1216,14716,2364,1.88609198846482,0.151942390476083
"01021",30534,1859,3710,13113,5426,2293,2413,1720,24965,4133,2.08444398397303,0.174800320227997
"01023",9281,615,1187,3477,1966,949,750,337,7479,1087,2.6844810611742,0.227715445752369
"01025",16269,883,2009,6740,3091,1287,1379,880,13377,2259,3.77705278042915,0.308578214402497
"01027",9969,599,1095,3813,1946,1182,885,449,8275,1334,2.02264495352241,0.151859694011498
"01029",10559,635,1154,3958,2331,751,1288,442,8770,1730,2.17331332294635,0.141307380795561
"01031",36163,1701,3233,10108,8154,4765,5130,3072,31229,8202,1.67857354324529,0.167176656707997
"01033",40390,1519,3814,15244,9193,3407,4484,2729,35057,7213,2.17544771604867,0.158868641612633
"01035",8665,276,801,4200,1536,773,585,494,7588,1079,2.5656139255453,0.209563021688
"01037",8165,262,955,3410,1851,772,639,276,6948,915,1.74153039716632,0.166415724009998
"01039",26421,1206,2709,10037,5432,2861,2509,1667,22506,4176,2.34794117316753,0.255974945721869
"01041",9281,638,1104,3882,1364,769,1070,454,7539,1524,2.27105579259996,0.1505721432565
"01043",60563,2765,6795,19624,14683,6717,6516,3463,51003,9979,2.44098205388496,0.191092068069504
"01045",33606,1493,3600,10376,8448,3411,4218,2060,28513,6278,1.63835682149237,0.138214878241573
"01047",26319,917,2792,10065,5391,2913,2588,1653,22610,4241,3.01744362246916,0.2465401007985
"01049",48286,5226,5296,16172,9659,4964,4233,2736,37764,6969,2.20319822910032,0.197864892232051
"01051",60372,2178,5281,19351,12663,6069,9977,4853,52913,14830,2.2543365237995,0.163460995856004
"01053",25716,1192,3505,11249,4496,2047,2180,1047,21019,3227,2.48678033640025,0.233341798150912
"01055",72558,2828,7186,24491,17762,7224,7916,5151,62544,13067,2.05963507659953,0.138750907781999
"01057",11498,666,1285,4714,2507,965,1004,357,9547,1361,1.83752674226277,0.158561054006503
"01059",21369,1462,2919,9016,3663,1259,2135,915,16988,3050,1.78005193763243,0.164303438329292
"01061",18814,1156,2138,6879,3907,2196,1695,843,15520,2538,1.83336632159684,0.141743049070702
"01063",5534,129,732,2173,1268,529,470,233,4673,703,3.48588347859645,0.164634597420002
"01065",10090,481,1409,3943,1766,898,1095,498,8200,1593,2.47215674143344,0.163554059865995
"01067",12202,841,1439,3931,2244,1114,1755,878,9922,2633,1.61798044653892,0.139768181674032
"01069",73559,2564,6442,23633,17416,7154,10393,5957,64553,16350,2.08676718603965,0.142481495450557
"01071",37709,2148,4479,14431,7124,3455,3744,2328,31082,6072,2.65394338728388,0.287464951013095
"01073",458909,11195,30284,121180,99274,37935,97085,61956,417430,159041,2.89674747270654,0.282678386829496
"01075",9948,613,1132,4151,2129,933,618,372,8203,990,1.64044075585125,0.152723300253899
"01077",64344,1861,5414,22572,13028,5073,10288,6108,57069,16396,2.41870866308418,0.183856187365778
"01079",23333,1277,2635,9642,4418,1793,2275,1293,19421,3568,1.90664573719887,0.182319677131493
"01081",105453,3014,6081,23254,22192,10185,21932,18795,96358,40727,2.02198282301337,0.153222044090333
"01083",71019,3251,6322,19395,15658,6234,13431,6728,61446,20159,1.69244568344909,0.154937338401376
"01085",7171,333,761,3094,1210,690,578,505,6077,1083,2.30663031541937,0.179512789006501
"01087",12539,432,1635,3765,3109,935,1424,1239,10472,2663,2.02202014889147,0.152206105569995
"01089",262659,6051,15033,50364,54540,20348,70676,45647,241575,116323,2.38833506518161,0.207260291539725
"01091",13044,339,1411,4653,2764,1307,1438,1132,11294,2570,2.63518920298358,0.243531180367001
"01093",21005,1211,2710,7472,4601,2362,1553,1096,17084,2649,1.89923572566337,0.188205126548046
"01095",64758,4462,6213,20178,13479,6574,9468,4384,54083,13852,2.20836076075294,0.158176288829001
"01097",280280,8053,25974,95988,59057,24155,43183,23870,246253,67053,3.68085786877512,0.309657660551465
"01099",13867,517,1923,6205,2285,1150,1126,661,11427,1787,2.805840198073,0.254586525199
"01101",152516,5789,12926,39384,31789,11752,29766,21110,133801,50876,2.52627143954897,0.198173807196
"01103",84768,5145,7838,26406,18447,7641,13059,6232,71785,19291,1.80513886859861,0.152209774022499
"01105",5560,312,876,2229,887,205,685,366,4372,1051,2.13794193723531,0.180201798855503
"01107",13940,851,1481,5903,2839,1012,1235,619,11608,1854,2.15645126061849,0.223007430029126
"01109",19399,640,1825,7035,3677,838,3161,2223,16934,5384,2.14028274998639,0.166008688591503
"01111",15409,1005,2034,5304,3012,1554,1411,1089,12370,2500,1.58363167008523,0.146393897277074
"01113",39883,1992,3889,11774,10562,4780,4335,2551,34002,6886,2.09224117869158,0.160480227665654
"01117",151072,3000,6632,29933,31323,12516,44496,23172,141440,67668,2.50628657985466,0.202880277296002
"01115",63434,3054,5819,22302,14659,5870,7829,3901,54561,11730,2.41220910911945,0.164593165474999
"01119",7716,228,754,2588,2085,559,832,670,6734,1502,3.06138444555601,0.227136042611642
"01121",57363,2639,7174,19830,13547,5035,5246,3892,47550,9138,2.72355821100712,0.190805453577499
"01123",29460,1464,3968,9300,6713,2693,3242,2080,24028,5322,2.15446143818016,0.1912397926075
"01125",140600,4064,10499,41868,28575,12508,25405,17681,126037,43086,2.8926443415847,0.338841734102005
"01127",45362,2562,5471,15674,10427,4837,3872,2519,37329,6391,2.3811515772666,0.203015138449999
"01129",10831,452,1046,4606,2311,947,643,826,9333,1469,2.62832623065593,0.267440033151637
"01131",7154,392,1093,2806,1611,467,522,263,5669,785,2.65040484245363,0.224243860512
"01133",17016,1004,2516,6590,3340,1276,1269,1021,13496,2290,1.67985533459205,0.160031763545501
"02013",2598,158,239,1080,568,139,275,139,2201,414,52.5312845488122,2.62376780662589
"02016",3838,185,159,1664,962,223,554,91,3494,645,55.669207828762,1.56506491348419
"02020",193312,4236,7063,45842,48371,16715,44110,26975,182013,71085,4.74867969487413,0.748446820891179
"02050",10025,689,1119,4674,1811,456,729,547,8217,1276,45.6776033596975,18.185811366681
"02060",643,19,15,194,217,56,108,34,609,142,2.39252257684435,0.205684341417412
"02063",4908,44,181,1145,1489,540,933,576,4683,1509,64.5987050177879,4.25867628025461
"02066",1845,38,71,650,446,91,338,211,1736,549,20.4593016391854,11.1188146328436
"02068",1656,7,20,504,346,126,409,244,1629,653,15.2401885073044,5.94630229323851
"02070",2883,155,233,1151,613,167,293,271,2495,564,20.0170111177522,7.86136451269161
"02090",61343,1143,2250,15698,16505,5771,11586,8390,57950,19976,13.2746560507643,3.63515424261301
"02100",1431,7,26,564,452,15,168,199,1398,367,11.7560151448592,0.977115515932635
"02105",1902,16,103,694,474,190,333,92,1783,425,38.1383398288403,2.72216951623376
"02110",22827,266,783,4791,5823,2019,5924,3221,21778,9145,10.1318703288228,1.12114820304525
"02122",41278,682,1815,12743,11199,3543,7251,4045,38781,11296,47.8615384278958,6.89946863754132
"02130",9801,131,460,2829,3076,719,1751,835,9210,2586,21.1238640288382,1.90598004248194
"02150",8907,455,392,2508,2115,838,1673,926,8060,2599,47.5010220795635,2.77958772199562
"02158",4075,189,644,2266,764,93,93,26,3242,119,20.9220967814914,8.06260739802986
"02164",634,29,39,258,125,42,69,72,566,141,38.5518218717489,10.600215285493
"02170",69796,1288,3096,23039,18611,7210,10889,5663,65412,16552,17.3669587941016,11.1976509746017
"02180",5622,204,491,2451,1278,165,427,606,4927,1033,43.8381952118662,11.6397878358614
"02185",7007,222,643,2904,1652,493,760,333,6142,1093,71.1801400957723,53.1131131238008
"02188",4290,203,470,2020,798,180,305,314,3617,619,44.2357864843879,19.6243826423391
"02195",2538,99,117,788,587,226,562,159,2322,721,12.726502000852,1.17778555261307
"02198",4172,56,263,1588,1102,362,568,233,3853,801,45.4331987259944,2.18900111500261
"02220",6088,158,158,1546,1578,624,1343,681,5772,2024,20.2068043837079,1.23468549181115
"02230",1062,68,33,356,284,55,199,67,961,266,2.26608447124171,0.179342033123337
"02240",4471,103,229,1704,1127,443,540,325,4139,865,21.9753656897978,11.8763441656331
"02275",1563,24,214,578,392,118,175,62,1325,237,16.5288189121552,1.007858476656
"02282",388,4,17,173,133,21,33,7,367,40,19.0639844631521,3.29594411726661
"02290",3479,167,281,1471,943,168,293,156,3031,449,63.6232284666296,74.2568919925616
"04001",42362,3412,4137,13150,12661,3568,3265,2169,34813,5434,9.28924863999137,2.88337291378615
"04003",87435,4091,5806,21308,23931,9730,13908,8661,77538,22569,5.02015909591142,1.5351877522607
"04005",86198,2859,4927,18341,19632,7046,19762,13631,78412,33393,12.3414771389465,4.82178404787192
"04007",39292,1100,4031,11192,11861,3726,4613,2769,34161,7382,8.15054709307096,1.20914271793499
"04009",24046,1057,2923,7123,6746,2668,2399,1130,20066,3529,5.42121454883853,1.15872891993499
"04011",5762,226,484,1877,1807,446,750,172,5052,922,3.42762965052363,0.463092458554208
"04012",13182,769,1341,4476,3826,1212,1022,536,11072,1558,5.7501590278353,1.13657789624266
"04013",2928408,148240,178497,644940,689293,261342,631052,375044,2601671,1006096,8.07764772004256,2.31437179159702
"04015",162829,5929,14508,55859,48067,14649,14549,9268,142392,23817,10.5732906635543,3.47234334778966
"04017",69674,3736,7030,20551,20513,6233,6881,4730,58908,11611,8.74475724197285,2.55966156517566
"04019",699288,28678,45790,149641,172153,62649,137833,102544,624820,240377,7.43605298269574,2.27404149983225
"04021",293016,12770,23641,89200,76521,29667,40942,20275,256605,61217,5.92103183530592,1.34167726517099
"04023",30361,3086,3671,7913,6266,2431,4257,2737,23604,6994,2.54895153101504,0.304358321068515
"04025",180855,3939,11341,45486,52902,16956,29164,21067,165575,50231,7.36273312783317,2.06866898679951
"04027",129299,16595,15846,34441,31450,10681,12942,7344,96858,20286,5.53643944920616,1.37603812732514
"05001",11988,668,928,5020,1962,1423,1340,647,10392,1987,3.32878751923832,0.2633871329275
"05003",13411,768,1220,6823,2193,795,1223,389,11423,1612,2.37834809439828,0.235522747491444
"05005",31668,926,2667,10992,7771,3420,4008,1884,28075,5892,2.13585801601888,0.152462700093371
"05007",182880,9003,9808,53695,35039,12124,41442,21769,164069,63211,2.61894554120617,0.229885817671011
"05009",26166,999,1850,8849,7054,2766,3125,1523,23317,4648,1.69726877494972,0.156453018193764
"05011",7251,409,742,3111,1575,506,644,264,6100,908,2.39723035822197,0.164000066196999
"05013",3438,87,456,1490,681,303,256,165,2895,421,2.38864250485548,0.159023799289
"05015",19931,1594,1354,7009,4208,1377,2892,1497,16983,4389,2.1218004170533,0.165970796725187
"05017",7114,511,1026,2725,1443,359,737,313,5577,1050,2.74913295912285,0.173275444304626
"05019",12605,367,826,4037,3196,663,2338,1178,11412,3516,2.98642490318637,0.223332663249004
"05021",10347,641,984,4430,2029,815,849,599,8722,1448,2.28390341201212,0.166971325226427
"05023",18514,840,1336,7850,3704,1640,2005,1139,16338,3144,1.60766036197021,0.152425645232501
"05025",5531,67,447,2584,1216,293,607,317,5017,924,1.8469557478306,0.151174182737503
"05027",14051,543,1281,5590,2866,939,1881,951,12227,2832,1.85824287732468,0.192116976739327
"05029",14381,640,1066,5896,2790,1303,2009,677,12675,2686,2.09679931873525,0.145314937511
"05031",70517,3264,4028,23151,14021,5641,12635,7777,63225,20412,2.10767151976442,0.184086456740748
"05033",40859,1802,4359,13947,9198,3761,5541,2251,34698,7792,2.19828146390591,0.1560519240267
"05035",30865,1583,3201,10940,7253,2496,3690,1702,26081,5392,2.49023657804348,0.16517523727354
"05037",11747,789,1349,4907,2222,829,1004,647,9609,1651,1.6899958801427,0.159662657347497
"05039",4660,174,397,2108,1094,351,395,141,4089,536,2.4364016645337,0.168732206196997
"05041",7728,721,756,3415,1487,292,746,311,6251,1057,3.92186355133433,0.204907116758018
"05043",11170,462,994,4090,2289,683,1703,949,9714,2652,1.94371520347496,0.210267931039497
"05045",76466,1863,3405,23020,17072,5951,15682,9473,71198,25155,2.16783938859911,0.1701259841315
"05047",11803,662,934,4911,2863,1182,914,337,10207,1251,2.14670362637211,0.159594309558499
"05049",8678,367,857,3229,2568,668,584,405,7454,989,1.89309887664602,0.161383355596929
